Name,Symbol,Mint Address,CoinGecko ID,Current Price (USD),Market Cap (USD),Total Volume (USD),Price Change 24h (%),Launch Date,Categories,DEX Volume (USD),DEX Liquidity (USD)
PVS,PVS,FWAr6oWa6CHg6WUcXu8CqkmsdbhtEqL8t31QTonppump,pvs,0.00970394,9849244.0,2558154.0,11.94412,,"Infrastructure, Solana Ecosystem, Pump.fun Ecosystem","{'m5': '1775.436146242', 'm15': '6340.0999938878', 'm30': '30883.5010496483', 'h1': '40898.6361748053', 'h6': '370843.63767266', 'h24': '1726768.32840975'}",
Ava AI,AVA,DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump,ava-ai,0.04089447,41114144.0,12749828.0,7.3013,,"Solana Ecosystem, Meme, Solana Meme, AI Meme, AI Agents, Pump.fun Ecosystem, Binance Alpha Spotlight, Made in USA","{'m5': '15556.8175067354', 'm15': '59873.2561846067', 'm30': '100421.234763142', 'h1': '181876.415617681', 'h6': '2598251.63598125', 'h24': '9651738.04222138'}",
Action Figure,Figure,7LSsEoJGhLeZzGvDofTdNg7M3JttxQqGWNLo6vWMpump,action-figure,0.00640977,6485550.0,8617226.0,-24.30767,,"Solana Ecosystem, Meme, Solana Meme, Pump.fun Ecosystem","{'m5': '3039.0855007528', 'm15': '15134.9293962188', 'm30': '54982.9997625668', 'h1': '180937.207842059', 'h6': '730631.302644709', 'h24': '5334234.29558143'}",
dogwifhat,$WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,dogwifcoin,0.412752,412329306.0,166859912.0,-7.93825,,"Solana Ecosystem, Meme, Dog-Themed, Solana Meme, GMCI Meme Index, GMCI Index","{'m5': '1003.7692014944', 'm15': '12144.7360847169', 'm30': '19438.8754116436', 'h1': '27808.9647742248', 'h6': '379415.280152611', 'h24': '1589403.35046544'}",
PWEASE,pwease,CniPCE4b3s8gSUPhUiyMjXnytrEqUrMfSsnbBjLCpump,pwease,0.0068354,6945419.0,6817327.0,23.00311,,"Solana Ecosystem, Meme, Solana Meme, Pump.fun Ecosystem","{'m5': '1611.8393193696', 'm15': '11445.2123336549', 'm30': '19739.8982441034', 'h1': '50305.8654768926', 'h6': '355957.425281301', 'h24': '2516152.29131783'}",
AUSD,AUSD,AUSD1jCcCyPLybk1YnvPWsHQSrZ46dxwoMniN4N2UEB9,agora-dollar,0.999595,11258148.0,14824022.0,-0.12047,,"Stablecoins, USD Stablecoin, Solana Ecosystem, Avalanche Ecosystem, Polygon Ecosystem, Ethereum Ecosystem, Sui Ecosystem, Injective Ecosystem, Fiat-backed Stablecoin","{'m5': '21.6513450989', 'm15': '10079.809775009', 'm30': '10248.3557562452', 'h1': '10286.9393828236', 'h6': '1391121.72865391', 'h24': '2454830.78153568'}",
BybitSOL,bbSOL,Bybit2vBJGhPF52GBdNaQfUJ6ZpThSgHBobjWZpLPb4B,bybit-staked-sol,141.98,169289877.0,722022.0,-0.99967,,"Decentralized Finance (DeFi), Solana Ecosystem, Liquid Staking Tokens, Liquid Staked SOL, Liquid Staking","{'m5': '0.0', 'm15': '0.3243160981', 'm30': '11.1821624369', 'h1': '389.7517391078', 'h6': '1955.756440663', 'h24': '58101.0266185497'}",
Solayer,LAYER,LAYER4xPpTCb3QL8S9u41EAhAX7mhBn8Q6xMTwY2Yzc,solayer,1.96,410552257.0,95197873.0,0.25605,,"Decentralized Finance (DeFi), Solana Ecosystem, LSDFi, Restaking, Stablecoin Protocol, YZi Labs (Prev. Binance Labs) Portfolio, Binance HODLer Airdrops, Polychain Capital Portfolio","{'m5': '832.4434288296', 'm15': '14509.6010098775', 'm30': '36334.5040013719', 'h1': '71261.7218905183', 'h6': '657829.683751001', 'h24': '3379653.08318326'}",
Orca,ORCA,orcaEKTdK7LKz57vaAYr9QeNsVEPfiu6QeMU1kektZE,orca,3.19,177876911.0,93224579.0,-0.90358,,"Decentralized Exchange (DEX), Decentralized Finance (DeFi), Yield Farming, Automated Market Maker (AMM), Solana Ecosystem, Coinbase Ventures Portfolio, DeFiance Capital Portfolio, Made in USA","{'m5': '5289.3324725834', 'm15': '15168.1117997375', 'm30': '42852.2931016117', 'h1': '118071.012645768', 'h6': '2246422.5380768', 'h24': '4792963.71242036'}",
Act I : The AI Prophecy,ACT,GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump,act-i-the-ai-prophecy,0.062084,59176637.0,155247396.0,2.88698,,"Solana Ecosystem, Meme, Solana Meme, AI Meme, Pump.fun Ecosystem","{'m5': '641.6909407621', 'm15': '1493.16172706', 'm30': '4031.4986199332', 'h1': '27899.9819304608', 'h6': '158202.439806629', 'h24': '917087.95708322'}",
